s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,s_64,s_65,s_66,s_67,s_68,s_69,s_70,s_71,s_72,s_73,s_74,s_75,s_76,s_77,s_78,s_79,s_80,s_81,s_82,s_83,s_84,s_85,s_86,s_87,s_88,s_89,s_90,s_91,s_92,s_93,s_94,s_95,s_96,s_97,s_98,s_99,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,16,38,1053,11,14,20,50,16,57,213,11,1489,14,87,284,11,14,20,31,7,4,833,156,11,4,182,1053,5,18,51,282,600,51,38,126,38,938,48,25,181,8,276,356,156,11,102,92,437,98,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1478,2,31,7,2,118,1268,237,73,6,196,58,12,1367,31,7,4,1529,139,13,28,110,18,6,196,58,99,2021,2831,299,558,73,5,60,2,11,6,171,640,15,26,1238,163,12,1367,31,42,107,731,388,15,26,6,227,357,21,120,32,6,87,20,19,49,163,139,4,118,136,11,12,9,121,1240,9,2,56,4,2,1601,544,10,10,61,675,709,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1149,2,3572,981,8,30,6,212,21,24,31,462,11,4,226,22,2172,567,400,19,1865,51,243,7,2,2,70,345,97,42,135,14,9,6,52,22,300,46,7,158,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,124,13,70,193,4,541,5,4,383,21,15,2,2,324,184,76,122,72,11,294,79,15,250,49,2,159,45,99,522,10,10,5,25,124,45,43,24,6,52,326,18,6,2,20,8,380,125,34,4872,4,76,128,20,45,2,125,10,10,13,520,14,31,6,241,43,88,45,2,128,74,2,2,4660,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,160,2215,446,583,7,109,943,13,683,2,4,20,161,2,31,120,4,419,19,2,42,1744,2,422,50,71,111,2,537,15,75,64,188,6,3132,7,21,14,16,4167,6,31,251,2,83,35,1494,15,2,653,11,32,7,4,4395,456,1469,2,239,16,6,66,1334,2078,11,4,671,7,116,15,2679,23,2097,247,74,206,52,2364,1
0,0,0,0,0,0,1,86,13,1247,12,33,4,374,1130,333,13,296,12,840,12,16,357,2770,12,16,24,163,2,91,7,4,3871,71,835,5,236,21,24,222,45,24,64,6,78,20,45,6,964,2,10,10,13,244,6,666,1867,3171,337,466,14,1332,5,1551,22,13,2240,12,88,12,16,27,86,20,60,48,25,26,6,666,1867,3171,337,92,1414,149,14,20,305,43,193,4,374,2089,6,2,5,1402,12,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,377,149,14,9,94,204,2,11,2,17,6,677,42,1446,291,154,5,66,2961,14,13,1033,69,4,1434,8,106,12,174,18,4,86,58,237,95,17,12,16,3181,23,2,910,2423,23,4,910,1308,474,1551,91,7,12,5,49,7,12,16,2,949,362,21,12,16,131,737,13,191,858,8,123,12,8,61,2,5,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1760,13,92,40,201,33,32,507,32,8,727,5,36,2353,8,413,357,5,753,55,702,10,10,134,201,190,26,73,256,4,65,1160,143,32,672,5,60,48,25,717,31,4,65,80,131,30,4576,129,330,10,10,4,672,26,32,814,23,6,1550,5,304,25,1037,5,1037,11,8,4,4163,7,465,5,154,3908,15,1838,43,4158,4,2558,7,4,4887,1550,1
0,0,0,0,0,1,13,286,572,1555,34,14,20,15,47,2,228,5,64,2,1673,234,1294,558,88,13,16,1454,2359,13,166,321,361,7,58,2,1381,8,2444,4,2,7,58,11,4,2425,7,641,5,2694,84,1093,2,525,472,198,32,12,9,10,10,61,2,9,18,94,2,4,321,2,93,11,4728,33,2,234,5,8,1970,15,6,755,70,30,128,74,4,204,2,93,11,2,620,1552,234,10,10,353,98,199,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20,16,1048,13,62,386,12,8,259,76,128,74,51,13,69,460,2,12,16,407,6,483,2,2093,20,12,9,35,480,65,19,480,156,5,3684,407,160,87,20,19,3387,2079,1616,866,259,3544,2175,122,6,389,292,17,73,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112,4,86,792,22,19,670,852,4676,261,24,626,18,153,303,14,9,290,4,106,852,2,217,218,666,246,1139,17,31,7,107,369,37,86,353,8,3621,160,369,1349,64,8,303,1313,90,180,8,1147,90,83,12,101,783,254,852,4676,337,80,79,6,1968,46,7,35,402,239,34,4689,4,118,284,639,1
0,0,0,0,0,0,1,50,9,6,681,18,14,432,7,22,5,15,681,9,3572,12,16,3572,54,12,16,6,1856,2364,5,45,3572,23,2,796,1129,150,10,10,12,238,2418,25,88,12,47,241,2,73,573,1433,11,2,5,2,3793,816,228,5,327,2,2,1385,10,10,12,82,47,49,2,2,255,37,1860,6,176,10,10,48,198,32,25,181,39,6,20,95,279,14,80,401,25,654,10,10,45,131,3572,151,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,16,2,34,4,1426,3210,2,7,6,2,65,63,9,1859,8,91,84,4,354,71,2,5,1339,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,4,249,20,126,93,4,116,4,229,4,1622,285,13,62,28,348,12,6,117,580,48,50,71,1564,372,11,4,20,21,60,36,71,78,25,62,104,15,6,20,19,4,681,2583,11,45,425,62,28,52,267,372,11,12,586,25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,6,87,20,910,93,4,208,1099,175,415,37,13,28,3543,8,44,12,301,36,447,12,316,2,16,1183,18,4,173,36,69,5,2,2,66,47,6,705,19,116,2,2,16,404,18,4,2,59,16,618,89,13,3792,41,316,37,1481,110,12,13,386,12,5,13,4619,25,80,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,13,301,94,6,1599,866,12,73,398,73,917,5,73,177,13,423,285,11,14,20,168,94,363,32,208,21,4,2,499,2,2,9,87,11,14,5,146,484,149,175,20,19,41,11,15,13,70,79,61,957,23,73,290,6,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,16,864,34,410,21,4,22,421,55,2,5,1214,12,82,69,4,249,277,36,71,242,170,18,6,866,277,21,32,12,122,16,563,72,4,888,7,51,4,226,213,7,4,65,16,32,85,1629,102,26,128,74,14,31,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1301,5,619,20,2235,4,2,5,2,7,6,564,269,8,216,8,1303,19,2,2164,34,6,2,1704,4,22,4615,23,27,649,19,27,1021,1461,937,29,9,400,55,2,949,5,27,2,19,85,1704,1484,572,6,328,180,5,46,5,6,428,2,2,4,22,9,400,1984,400,619,5,210,867,79,46,4,953,7,2,5,106,14,23,6,2,2710,2655,19,129,1943,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,425,152,1183,14,3800,731,212,4207,3118,5,827,2,92,28,76,1175,21,68,105,713,424,8,199,26,576,1451,5,1564,10,10,4,696,177,9,6,925,19,4,1401,7,2,2,616,2,1766,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,527,4,116,1352,365,1234,802,4,229,285,44,14,22,9,17,78,17,12,70,79,12,272,17,48,12,16,814,19,6,374,370,70,25,202,6,20,6,1566,675,106,4,1746,305,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2508,2,6,1718,23,4,2,18,6,2,1461,5,592,2,41,1099,2,212,7,2,39,4,2139,868,324,34,592,2,2,11,1718,1399,5,2566,34,6,2,177,2,2,9,389,17,4,2,2,564,2,13,119,14,20,151,171,409,306,8,2508,584,166,12,6,2286,11,61,274,2680,61,457,22,7,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,198,138,254,8,967,10,10,39,4,1158,213,7,650,2,1475,213,7,650,13,215,135,13,1583,754,2359,133,252,50,9,49,1104,136,32,4,1109,304,133,1812,21,15,191,607,4,910,552,7,229,5,226,20,198,138,10,10,241,46,7,158,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20,9,4,118,189,20,1449,600,13,119,89,3006,43,2,4,372,83,4,2144,13,28,77,6,337,7,2,2,157,18,111,153,5,29,4280,72,245,94,6,3890,7,189,5,453,5,883,24,38,76,212,27,445,246,1220,168,2004,72,208,95,5,50,15,168,11,27,523,13,80,115,859,225,142,44,90,13,2488,1634,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,6,321,380,8,4,22,611,7,4111,2,27,1956,133,287,15,6,196,611,9,1404,18,90,4,519,5,2832,1313,9,1127,18,4,2,999,14,380,7,4,1798,2966,201,9,35,298,2528,11,61,274,3673,2,239,9,321,17,644,591,443,2,42,2,7,4,22,2657,193,6,580,5,79,14,1055,23,288,13,104,12,62,30,6,2286,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,62,28,348,12,6,31,305,7,6,107,21,13,1408,12,100,28,77,433,13,482,4,116,218,32,15,78,21,4,114,1503,233,60,2602,491,8,221,12,9,6,394,20,394,601,437,7,58,13,2303,1467,25,81,24,106,14,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20,272,40,12,16,93,18,248,18,153,13,4465,18,49,20,8,30,93,44,2,3514,88,13,447,8,67,90,953,33,4,154,2,5,8,67,14,20,16,55,1332,13,28,2,7,1161,18,443,2079,21,29,16,373,5,357,50,9,66,164,52,8,135,44,14,20,549,13,122,40,4,613,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,16,31,7,4,118,325,102,207,110,88,12,2679,23,4,105,53,95,4,779,325,32,7,4,177,81,35,321,292,5,88,91,7,98,26,3597,2,12,166,285,306,53,867,4,370,929,9,87,9,38,16,4,1794,5,802,14,20,80,165,79,8,25,5,2906,4,311,8,459,18,4,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,13,2051,7,2688,2,2,341,14,16,4,86,7,27,111,108,13,197,7,796,319,51,6,389,2,1702,4,22,1568,60,103,32,134,153,5,2,1525,8,2,4,1382,83,175,2122,27,523,5,393,26,17,2,17,15,428,1735,29,2899,199,29,5,4,22,28,8,30,1192,2646,2635,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,144,30,2594,829,18,32,185,84,14,9,664,33,94,118,39,4,2299,228,5,1307,2559,34,4745,8,94,2,5,2,2,4,182,33,325,9,3210,5,2,18,259,37,494,8,124,44,2,806,585,33,4,2,7,4,3646,1117,1
0,0,0,1,51,4,609,7,6,1095,20,16,15,78,116,78,318,302,5,4,249,3963,769,13,126,385,638,4,64,646,155,133,16,2,37,69,6,327,2055,17,6,2,46,1002,190,4,360,7,4,22,9,373,5,357,45,24,60,38,78,25,70,462,44,12,43,1044,595,5,2500,2,14,8,4,445,351,201,238,17,73,1661,2,2,8,2,1532,73,608,33,222,50,16,2,2,11,2,2,300,46,7,158,0
